ID;CODE;ISO_DIG;ISO_LAT3;NAME_RUS;NAME_COU;NAME_COU1;NAME_COU2;NAME_COU3;CB_DATE;CE_DATE
317;107;036;AUD;АВСТРАЛИЙСКИЙ ДОЛЛАР;"АВСТРАЛИЯ; КИРИБАТИ; КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА; НАУРУ; ОСТРОВ НОРФОЛК; ОСТРОВ РОЖДЕСТВА; ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД; ТУВАЛУ";;;;01.01.2003;31.12.2099
234;234;703;SKK;СЛОВАЦКАЯ КРОНА;СЛОВАКИЯ;;;;01.07.1995;31.12.2008
369;239;716;ZWD;ДОЛЛАР ЗИМБАБВЕ;ЗИМБАБВЕ;;;;30.11.2006;31.12.2008
213;213;566;NGN;НАЙРА;НИГЕРИЯ;;;;01.07.1995;31.12.2099
405;208;532;ANG;НИДЕРЛАНДСКИЙ АНТИЛЬСКИЙ ГУЛЬДЕН;"КЮРАСАО; СЕН-МАРТЕН (НИДЕРЛАНДСКАЯ ЧАСТЬ)";;;;01.07.2011;31.12.2099
254;254;795;TMM;МАНАТ;ТУРКМЕНИЯ;;;;01.07.1995;31.12.2008
297;247;762;TJR;ТАДЖИКСКИЙ РУБЛ;ТАДЖИКИСТАН;;;;17.03.1997;30.06.2001
147;147;233;EEK;КРОНА;ЭСТОНИЯ;;;;01.07.1995;31.12.2010
101;101;008;ALL;ЛЕК;АЛБАНИЯ;;;;01.07.1995;31.12.2099
360;296;946;RON;НОВЫЙ РУМЫНСКИЙ ЛЕЙ;РУМЫНИЯ;;;;01.07.2005;15.11.2009
321;121;096;BND;БРУНЕЙСКИЙ ДОЛЛАР;БРУНЕЙ-ДАРУССАЛАМ;;;;01.01.2003;31.12.2099
126;126;116;KHR;РИЕЛЬ;КАМБОДЖА;;;;01.07.1995;31.12.2099
241;241;736;SDD;СУДАНСКИЙ ДИНАР;СУДАН;;;;01.07.1995;30.04.2007
285;199;484;MXN;МЕКСИКАНСКОЕ ПЕСО;МЕКСИКА;;;;01.11.1999;31.12.2099
401;279;978;EUR;ЕВРО;"АВСТРИЯ; АНДОРРА; БЕЛЬГИЯ; ГВАДЕЛУПА; ГЕРМАНИЯ; ГРЕЦИЯ; ИРЛАНДИЯ; ИСЛАНДИЯ; ИСПАНИЯ; ИТАЛИЯ; КИПР; ЛЮКСЕМБУРГ; МАЙОТТА; МАЛЬТА; МАРТИНИКА; МОНАКО; НИДЕРЛАНДЫ; ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО - ГОРОД ВАТИКАН); ПОРТУГАЛИЯ; РЕЮНЬОН; САН-МАРИНО; СЕН-БАРТЕЛЕ";"МИ; СЕН-МАРТЕН; СЕНТ-ПЬЕР И МИКЕЛОН; СЛОВАКИЯ; СЛОВЕНИЯ; ФИНЛЯНДИЯ; ФРАНЦИЯ; ФРАНЦУЗСКАЯ ГВИАНА; ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ; ЧЕРНОГОРИЯ";;;16.11.2009;31.12.2010
131;131;152;CLP;ЧИЛИЙСКОЕ ПЕСО;ЧИЛИ;;;;01.07.1995;31.12.2099
211;211;554;NZD;НОВОЗЕЛАНДСКИЙ ДОЛЛАР;"НИУЭ; НОВАЯ ЗЕЛАНДИЯ; ОСТРОВА КУКА; ПИТКЕРН; ТОКЕЛАУ";;;;01.07.1995;31.12.2099
